sigma_A_over_sigma_omega,K_over_sigma_omega,mean_abs_drift_over_sigma_omega,positive_fraction,negative_fraction
1.272727273,0.1212121212,0.4105594028,0.2094,0.2174
1.333333333,0.1212121212,0.3964497888,0.2028,0.2086
1.393939394,0.1212121212,0.3826157567,0.1952,0.2016
1.454545455,0.1212121212,0.3693390913,0.1892,0.1918
1.515151515,0.1212121212,0.3574926235,0.1828,0.185
1.575757576,0.1212121212,0.34628794,0.1766,0.1794
1.636363636,0.1212121212,0.3358084907,0.171,0.1726
1.696969697,0.1212121212,0.3263313181,0.1668,0.1676
1.757575758,0.1212121212,0.3167286059,0.163,0.1604
1.818181818,0.1212121212,0.3076401148,0.1584,0.155
1.878787879,0.1212121212,0.2993871689,0.1548,0.1506
1.939393939,0.1212121212,0.2913229191,0.15,0.1458
2,0.1212121212,0.284086933,0.147,0.1434
2.060606061,0.1212121212,0.2767536852,0.1442,0.1404
2.121212121,0.1212121212,0.2697055738,0.1414,0.1374
2.181818182,0.1212121212,0.2627445569,0.1372,0.1346
2.242424242,0.1212121212,0.2560421036,0.1326,0.1306
2.303030303,0.1212121212,0.2499527548,0.1296,0.1278
2.363636364,0.1212121212,0.2441391446,0.1254,0.1238
2.424242424,0.1212121212,0.2388157838,0.1238,0.1204
2.484848485,0.1212121212,0.2335732047,0.1222,0.117
2.545454545,0.1212121212,0.2288863359,0.1208,0.115
2.606060606,0.1212121212,0.2239532362,0.1182,0.112
2.666666667,0.1212121212,0.2191785846,0.1156,0.1088
2.727272727,0.1212121212,0.2148024758,0.1134,0.1068
2.787878788,0.1212121212,0.2105993445,0.1102,0.1058
2.848484848,0.1212121212,0.2064817724,0.1084,0.1042
2.909090909,0.1212121212,0.2025654898,0.1074,0.1018
2.96969697,0.1212121212,0.1984435576,0.1058,0.1002
3.03030303,0.1212121212,0.1942818436,0.1036,0.097
3.090909091,0.1212121212,0.1905356991,0.1024,0.0946
3.151515152,0.1212121212,0.1870822763,0.1008,0.0928
3.212121212,0.1212121212,0.183690144,0.099,0.0912
3.272727273,0.1212121212,0.1806529099,0.098,0.089
3.333333333,0.1212121212,0.1774813758,0.0962,0.0874
3.393939394,0.1212121212,0.174587432,0.0952,0.086
3.454545455,0.1212121212,0.1715049216,0.094,0.0852
3.515151515,0.1212121212,0.168439109,0.0928,0.0832
3.575757576,0.1212121212,0.1653943895,0.091,0.082
3.636363636,0.1212121212,0.1625007758,0.0878,0.0808
3.696969697,0.1212121212,0.1599439244,0.0862,0.0802
3.757575758,0.1212121212,0.1573640378,0.0848,0.0786
3.818181818,0.1212121212,0.1549173171,0.0842,0.077
3.878787879,0.1212121212,0.1527067579,0.0836,0.0758
3.939393939,0.1212121212,0.1505087402,0.0826,0.0748
4,0.1212121212,0.1482785875,0.082,0.0738
4.060606061,0.1212121212,0.1459896657,0.0808,0.0722
4.121212121,0.1212121212,0.1438437247,0.0796,0.0714
4.181818182,0.1212121212,0.1416857506,0.077,0.0708
4.242424242,0.1212121212,0.1397622375,0.0756,0.0702
4.303030303,0.1212121212,0.1377980094,0.0748,0.0692
4.363636364,0.1212121212,0.1355634014,0.0734,0.0678
4.424242424,0.1212121212,0.1336464752,0.0714,0.0668
4.484848485,0.1212121212,0.1319227882,0.0708,0.0656
4.545454545,0.1212121212,0.1302657898,0.0696,0.0648
4.606060606,0.1212121212,0.1287558537,0.0686,0.0638
4.666666667,0.1212121212,0.1271631142,0.068,0.063
4.727272727,0.1212121212,0.1256495718,0.0674,0.062
4.787878788,0.1212121212,0.1241845608,0.0668,0.0616
4.848484848,0.1212121212,0.1226920173,0.0662,0.0606
4.909090909,0.1212121212,0.1211449608,0.0648,0.0594
4.96969697,0.1212121212,0.1197087594,0.0634,0.0582
5.03030303,0.1212121212,0.1184705396,0.0634,0.0572
5.090909091,0.1212121212,0.1171962275,0.0626,0.0568
5.151515152,0.1212121212,0.1159021083,0.062,0.056
5.212121212,0.1212121212,0.1146910996,0.061,0.0554
5.272727273,0.1212121212,0.1136275376,0.0602,0.0552
5.333333333,0.1212121212,0.1125714036,0.06,0.0544
5.393939394,0.1212121212,0.111525854,0.0594,0.054
5.454545455,0.1212121212,0.1104429988,0.0588,0.0536
5.515151515,0.1212121212,0.1094868661,0.0584,0.0534
5.575757576,0.1212121212,0.1084490006,0.0578,0.0532
5.636363636,0.1212121212,0.1073671329,0.0576,0.0528
5.696969697,0.1212121212,0.1063420953,0.057,0.0522
5.757575758,0.1212121212,0.1051210282,0.056,0.0516
5.818181818,0.1212121212,0.1040631995,0.0554,0.0508
5.878787879,0.1212121212,0.1030273458,0.0542,0.0506
5.939393939,0.1212121212,0.1021294478,0.0538,0.0502
6,0.1212121212,0.1012215804,0.0536,0.0496
0,0.1818181818,0.8034339882,0.4892,0.5104
0.06060606061,0.1818181818,0.7980594541,0.4706,0.4916
0.1212121212,0.1818181818,0.7860544563,0.4472,0.472
0.1818181818,0.1818181818,0.7699290654,0.43,0.452
0.2424242424,0.1818181818,0.7507170397,0.4112,0.4346
0.303030303,0.1818181818,0.7294003477,0.3928,0.4186
0.3636363636,0.1818181818,0.707206858,0.3782,0.4002
0.4242424242,0.1818181818,0.6838316157,0.3618,0.3838
0.4848484848,0.1818181818,0.6600528996,0.3438,0.369
0.5454545455,0.1818181818,0.6370177792,0.3326,0.354
0.6060606061,0.1818181818,0.6129845126,0.3176,0.3404
0.6666666667,0.1818181818,0.5901931091,0.3044,0.3224
0.7272727273,0.1818181818,0.5679939258,0.2928,0.3104
0.7878787879,0.1818181818,0.5460049428,0.2814,0.2952
0.8484848485,0.1818181818,0.5259960216,0.269,0.2804
0.9090909091,0.1818181818,0.5074495071,0.2576,0.2712
0.9696969697,0.1818181818,0.4896746544,0.2478,0.2622
1.03030303,0.1818181818,0.4723243884,0.2416,0.25
1.090909091,0.1818181818,0.4560007873,0.234,0.242
1.151515152,0.1818181818,0.440290321,0.225,0.2334
1.212121212,0.1818181818,0.4247008317,0.2152,0.2246
1.272727273,0.1818181818,0.4105301261,0.209,0.2176
1.333333333,0.1818181818,0.3964441925,0.2024,0.2084
1.393939394,0.1818181818,0.3825912507,0.195,0.2014
1.454545455,0.1818181818,0.3693147238,0.1888,0.1916
1.515151515,0.1818181818,0.3573861978,0.182,0.1854
1.575757576,0.1818181818,0.3462613352,0.1762,0.1798
1.636363636,0.1818181818,0.3359007343,0.1708,0.173
1.696969697,0.1818181818,0.3263504648,0.1664,0.1678
1.757575758,0.1818181818,0.3167502398,0.1632,0.1606
1.818181818,0.1818181818,0.3077309371,0.1586,0.1552
1.878787879,0.1818181818,0.2994344355,0.156,0.1506
1.939393939,0.1818181818,0.2913772089,0.1496,0.1462
2,0.1818181818,0.2841622308,0.1474,0.1432
2.060606061,0.1818181818,0.2767406877,0.1442,0.1404
2.121212121,0.1818181818,0.2696769713,0.141,0.1374
2.181818182,0.1818181818,0.2627415384,0.1378,0.1346
2.242424242,0.1818181818,0.2560097191,0.1322,0.1304
2.303030303,0.1818181818,0.2499700755,0.13,0.1274
2.363636364,0.1818181818,0.2440606521,0.1254,0.1238
2.424242424,0.1818181818,0.2388510742,0.124,0.1204
2.484848485,0.1818181818,0.2336131533,0.1222,0.1166
2.545454545,0.1818181818,0.2288546211,0.1206,0.1138
2.606060606,0.1818181818,0.2239639611,0.1182,0.112
2.666666667,0.1818181818,0.2192147351,0.1154,0.1084
2.727272727,0.1818181818,0.2149165183,0.113,0.1068
2.787878788,0.1818181818,0.2106169151,0.1106,0.1056
2.848484848,0.1818181818,0.2065070512,0.1082,0.1042
2.909090909,0.1818181818,0.2025699609,0.1074,0.1016
2.96969697,0.1818181818,0.1983788247,0.1056,0.0996
3.03030303,0.1818181818,0.1944214931,0.104,0.0972
3.090909091,0.1818181818,0.190449757,0.1024,0.0944
3.151515152,0.1818181818,0.1869680648,0.1008,0.0926
3.212121212,0.1818181818,0.1836255799,0.099,0.0906
3.272727273,0.1818181818,0.1805100691,0.098,0.0886
