r,kappa,D
4.0606060606060606,0.12121212121212122,0.1512432657740791
4.121212121212121,0.12121212121212122,0.14929466355785512
4.181818181818182,0.12121212121212122,0.14740362534471996
4.242424242424242,0.12121212121212122,0.14537578597373194
4.303030303030303,0.12121212121212122,0.14352510900105067
4.363636363636363,0.12121212121212122,0.14162227608652375
4.424242424242425,0.12121212121212122,0.13977862336577826
4.484848484848485,0.12121212121212122,0.1381475082078457
4.545454545454546,0.12121212121212122,0.13650928053628553
4.606060606060606,0.12121212121212122,0.13486080148271218
4.666666666666667,0.12121212121212122,0.13318356442970367
4.7272727272727275,0.12121212121212122,0.13175747057021628
4.787878787878788,0.12121212121212122,0.13032146842896142
4.848484848484849,0.12121212121212122,0.12895545018002083
4.909090909090909,0.12121212121212122,0.12753159265832995
4.96969696969697,0.12121212121212122,0.12617492840267372
5.03030303030303,0.12121212121212122,0.12490224767754762
5.090909090909091,0.12121212121212122,0.12358644413829983
5.151515151515151,0.12121212121212122,0.1223416987633884
5.212121212121212,0.12121212121212122,0.12106141757380484
5.2727272727272725,0.12121212121212122,0.11987926438992139
5.333333333333334,0.12121212121212122,0.11861649490399293
5.3939393939393945,0.12121212121212122,0.11732299995418766
5.454545454545455,0.12121212121212122,0.11610132439229984
5.515151515151516,0.12121212121212122,0.11485060351999371
5.575757575757576,0.12121212121212122,0.11363968855192645
5.636363636363637,0.12121212121212122,0.11240697769051171
5.696969696969697,0.12121212121212122,0.1112184315707437
5.757575757575758,0.12121212121212122,0.11003594549560097
5.818181818181818,0.12121212121212122,0.1089515750293892
5.878787878787879,0.12121212121212122,0.10771827293696909
5.9393939393939394,0.12121212121212122,0.1066651818343603
6.0,0.12121212121212122,0.1056756229959527
0.0,0.18181818181818182,0.9999999999990905
0.06060606060606061,0.18181818181818182,0.9982297236432387
0.12121212121212122,0.18181818181818182,0.9929259196808438
0.18181818181818182,0.18181818181818182,0.9840679264334432
0.24242424242424243,0.18181818181818182,0.971349503675885
0.30303030303030304,0.18181818181818182,0.9536935157744408
0.36363636363636365,0.18181818181818182,0.9288135649056235
0.42424242424242425,0.18181818181818182,0.8977667919227252
0.48484848484848486,0.18181818181818182,0.8601857029767079
0.5454545454545454,0.18181818181818182,0.8196597343336165
0.6060606060606061,0.18181818181818182,0.7784383337403183
0.6666666666666667,0.18181818181818182,0.7376072733030697
0.7272727272727273,0.18181818181818182,0.6980294078350527
0.7878787878787878,0.18181818181818182,0.6639259763112492
0.8484848484848485,0.18181818181818182,0.6296159650485349
0.9090909090909092,0.18181818181818182,0.5982540315586805
0.9696969696969697,0.18181818181818182,0.569953265028857
1.0303030303030303,0.18181818181818182,0.5438958223617715
1.0909090909090908,0.18181818181818182,0.5191219950924064
1.1515151515151516,0.18181818181818182,0.49544516308532593
1.2121212121212122,0.18181818181818182,0.47427431299841294
1.2727272727272727,0.18181818181818182,0.45453271187205596
1.3333333333333335,0.18181818181818182,0.4351670237895847
1.393939393939394,0.18181818181818182,0.41737424618808044
1.4545454545454546,0.18181818181818182,0.40168345376515097
1.5151515151515151,0.18181818181818182,0.3868629701838098
1.5757575757575757,0.18181818181818182,0.3731875400697989
1.6363636363636365,0.18181818181818182,0.36029709126392545
1.696969696969697,0.18181818181818182,0.34796723573571603
1.7575757575757576,0.18181818181818182,0.3361453116351112
1.8181818181818183,0.18181818181818182,0.32508592134084735
1.878787878787879,0.18181818181818182,0.3154292595451318
1.9393939393939394,0.18181818181818182,0.3059377348686527
2.0,0.18181818181818182,0.29740581562555285
2.0606060606060606,0.18181818181818182,0.2891050959418509
2.121212121212121,0.18181818181818182,0.2806970502198077
2.1818181818181817,0.18181818181818182,0.27305106787772593
