N,kappa,r_fixed,D_mean,D_std,D_sem,trials,omega,T,dt,late_fraction
40,2.121212121212121,2.0,0.47159487041598325,0.10630889924717578,0.015034348711631089,50,0.5,1000.0,0.01,0.3
40,2.1818181818181817,2.0,0.4814435746972794,0.10431438893077605,0.014752282357656535,50,0.5,1000.0,0.01,0.3
40,2.2424242424242427,2.0,0.49015429409207995,0.10543023572676076,0.014910086924897748,50,0.5,1000.0,0.01,0.3
40,2.303030303030303,2.0,0.5000752910447713,0.10411441810686581,0.014724002212531256,50,0.5,1000.0,0.01,0.3
40,2.3636363636363638,2.0,0.5088949192888278,0.10116533580219382,0.014306938993349094,50,0.5,1000.0,0.01,0.3
40,2.4242424242424243,2.0,0.5180732727356072,0.09863186077703286,0.013948651519297478,50,0.5,1000.0,0.01,0.3
40,2.484848484848485,2.0,0.5292876843562939,0.09872133225093427,0.013961304696481167,50,0.5,1000.0,0.01,0.3
40,2.5454545454545454,2.0,0.5379720448786312,0.09548956277900203,0.013504263474714175,50,0.5,1000.0,0.01,0.3
40,2.606060606060606,2.0,0.5458729868732461,0.09531471313859975,0.01347953600143088,50,0.5,1000.0,0.01,0.3
40,2.666666666666667,2.0,0.5532043869694059,0.0971039111175717,0.013732566806194146,50,0.5,1000.0,0.01,0.3
40,2.7272727272727275,2.0,0.5628146531298467,0.09656910913815935,0.013656934384947254,50,0.5,1000.0,0.01,0.3
40,2.787878787878788,2.0,0.5698211909815908,0.09620907989488217,0.013606018561077902,50,0.5,1000.0,0.01,0.3
40,2.8484848484848486,2.0,0.5779724652715058,0.09616236848429559,0.01359941257004099,50,0.5,1000.0,0.01,0.3
40,2.909090909090909,2.0,0.5849765493617023,0.09472177934850065,0.013395682500676137,50,0.5,1000.0,0.01,0.3
40,2.9696969696969697,2.0,0.5917435096167889,0.09433414414899098,0.013340862605036159,50,0.5,1000.0,0.01,0.3
40,3.0303030303030303,2.0,0.5977637004183028,0.09475854616170787,0.013400882113264425,50,0.5,1000.0,0.01,0.3
40,3.090909090909091,2.0,0.6057484098453869,0.09555962268476854,0.013514171441605534,50,0.5,1000.0,0.01,0.3
40,3.1515151515151514,2.0,0.6118121614980282,0.0936382825374807,0.013242452912182895,50,0.5,1000.0,0.01,0.3
40,3.2121212121212124,2.0,0.6189947708145073,0.09453821802153806,0.013369723008864366,50,0.5,1000.0,0.01,0.3
40,3.272727272727273,2.0,0.626896565851682,0.0926313230132061,0.013100047330583906,50,0.5,1000.0,0.01,0.3
40,3.3333333333333335,2.0,0.6336415030386313,0.0934895494685773,0.013221418879861238,50,0.5,1000.0,0.01,0.3
40,3.393939393939394,2.0,0.6402825897380078,0.09141874229575932,0.012928562520975372,50,0.5,1000.0,0.01,0.3
40,3.4545454545454546,2.0,0.6453765062885738,0.0911003239523824,0.012883531367004172,50,0.5,1000.0,0.01,0.3
40,3.515151515151515,2.0,0.6529032590997409,0.08996265155506157,0.012722640193621309,50,0.5,1000.0,0.01,0.3
40,3.5757575757575757,2.0,0.6588183327845697,0.08967203907511698,0.012681541382568055,50,0.5,1000.0,0.01,0.3
40,3.6363636363636367,2.0,0.6665029277078192,0.08785123124135197,0.012424040269269491,50,0.5,1000.0,0.01,0.3
40,3.6969696969696972,2.0,0.6734294472916392,0.08738003307071028,0.012357402784920804,50,0.5,1000.0,0.01,0.3
40,3.757575757575758,2.0,0.6786833042735532,0.08765011871776647,0.012395598663427721,50,0.5,1000.0,0.01,0.3
40,3.8181818181818183,2.0,0.6858406810372343,0.08695985124970046,0.012297980101927333,50,0.5,1000.0,0.01,0.3
