sigma_A_over_omega,K_over_omega,positive_fraction,negative_fraction
5.818181818,0.1212121212,0.1382,0
5.878787879,0.1212121212,0.1362,0
5.939393939,0.1212121212,0.1348,0
6,0.1212121212,0.1336,0
0,0.1818181818,1,0
0.06060606061,0.1818181818,1,0
0.1212121212,0.1818181818,1,0
0.1818181818,0.1818181818,1,0
0.2424242424,0.1818181818,1,0
0.303030303,0.1818181818,0.9994,0
0.3636363636,0.1818181818,0.996,0.002
0.4242424242,0.1818181818,0.9896,0.004
0.4848484848,0.1818181818,0.971,0.0082
0.5454545455,0.1818181818,0.9442,0.009
0.6060606061,0.1818181818,0.9116,0.009
0.6666666667,0.1818181818,0.875,0.0052
0.7272727273,0.1818181818,0.829,0.0022
0.7878787879,0.1818181818,0.8014,0.0006
0.8484848485,0.1818181818,0.7628,0.0004
0.9090909091,0.1818181818,0.7284,0
0.9696969697,0.1818181818,0.697,0
1.03030303,0.1818181818,0.6694,0
1.090909091,0.1818181818,0.6436,0
1.151515152,0.1818181818,0.6158,0
1.212121212,0.1818181818,0.5922,0
1.272727273,0.1818181818,0.57,0
1.333333333,0.1818181818,0.546,0
1.393939394,0.1818181818,0.5236,0
1.454545455,0.1818181818,0.5038,0
1.515151515,0.1818181818,0.486,0
1.575757576,0.1818181818,0.469,0
1.636363636,0.1818181818,0.455,0
1.696969697,0.1818181818,0.4416,0
1.757575758,0.1818181818,0.4262,0
1.818181818,0.1818181818,0.4088,0
1.878787879,0.1818181818,0.3974,0
1.939393939,0.1818181818,0.385,0
2,0.1818181818,0.3754,0
2.060606061,0.1818181818,0.3664,0
2.121212121,0.1818181818,0.356,0
2.181818182,0.1818181818,0.3458,0
2.242424242,0.1818181818,0.3364,0
2.303030303,0.1818181818,0.328,0
2.363636364,0.1818181818,0.3178,0
2.424242424,0.1818181818,0.3108,0
2.484848485,0.1818181818,0.3028,0
2.545454545,0.1818181818,0.2954,0
2.606060606,0.1818181818,0.2886,0
2.666666667,0.1818181818,0.2826,0
2.727272727,0.1818181818,0.2766,0
2.787878788,0.1818181818,0.2702,0
2.848484848,0.1818181818,0.2658,0
2.909090909,0.1818181818,0.2606,0
2.96969697,0.1818181818,0.255,0
3.03030303,0.1818181818,0.251,0
3.090909091,0.1818181818,0.2472,0
3.151515152,0.1818181818,0.243,0
3.212121212,0.1818181818,0.2392,0
3.272727273,0.1818181818,0.2332,0
3.333333333,0.1818181818,0.2292,0
3.393939394,0.1818181818,0.2252,0
3.454545455,0.1818181818,0.222,0
3.515151515,0.1818181818,0.2186,0
3.575757576,0.1818181818,0.2148,0
3.636363636,0.1818181818,0.2112,0
3.696969697,0.1818181818,0.2084,0
3.757575758,0.1818181818,0.2028,0
3.818181818,0.1818181818,0.1998,0
3.878787879,0.1818181818,0.1976,0
3.939393939,0.1818181818,0.1936,0
4,0.1818181818,0.1922,0
4.060606061,0.1818181818,0.1886,0
4.121212121,0.1818181818,0.186,0
4.181818182,0.1818181818,0.1846,0
4.242424242,0.1818181818,0.1824,0
4.303030303,0.1818181818,0.1804,0
4.363636364,0.1818181818,0.1776,0
4.424242424,0.1818181818,0.1744,0
4.484848485,0.1818181818,0.1728,0
4.545454545,0.1818181818,0.1702,0
4.606060606,0.1818181818,0.169,0
4.666666667,0.1818181818,0.1658,0
4.727272727,0.1818181818,0.1638,0
4.787878788,0.1818181818,0.1626,0
4.848484848,0.1818181818,0.161,0
4.909090909,0.1818181818,0.1594,0
4.96969697,0.1818181818,0.1574,0
5.03030303,0.1818181818,0.1564,0
5.090909091,0.1818181818,0.1552,0
5.151515152,0.1818181818,0.1538,0
5.212121212,0.1818181818,0.1522,0
5.272727273,0.1818181818,0.1512,0
5.333333333,0.1818181818,0.1494,0
5.393939394,0.1818181818,0.148,0
5.454545455,0.1818181818,0.1472,0
5.515151515,0.1818181818,0.1454,0
5.575757576,0.1818181818,0.145,0
5.636363636,0.1818181818,0.142,0
5.696969697,0.1818181818,0.1414,0
5.757575758,0.1818181818,0.14,0
5.818181818,0.1818181818,0.1378,0
5.878787879,0.1818181818,0.1368,0
